trial,preprocess,pca_dim,model,noise_sigma,test_accuracy,cv_mean_accuracy,cv_std_accuracy,best_params_json,feature_dim_after_transform,prediction_file
0,pca,16.0,logistic,0.3,0.808,0.845,0.010954451150103317,"{""C"": 0.1}",16,prediction_artifacts/trial0__pca__pca16__logistic.npz
0,pca,16.0,logistic,0.4,0.747,0.845,0.010954451150103317,"{""C"": 0.1}",16,prediction_artifacts/trial0__pca__pca16__logistic.npz
0,pca,16.0,linear_svm,0.0,0.835,0.8234999999999999,0.0115758369027902,"{""C"": 10.0}",16,prediction_artifacts/trial0__pca__pca16__linear_svm.npz
0,pca,16.0,linear_svm,0.1,0.8335,0.8234999999999999,0.0115758369027902,"{""C"": 10.0}",16,prediction_artifacts/trial0__pca__pca16__linear_svm.npz
0,pca,16.0,linear_svm,0.2,0.786,0.8234999999999999,0.0115758369027902,"{""C"": 10.0}",16,prediction_artifacts/trial0__pca__pca16__linear_svm.npz
0,pca,16.0,linear_svm,0.3,0.7175,0.8234999999999999,0.0115758369027902,"{""C"": 10.0}",16,prediction_artifacts/trial0__pca__pca16__linear_svm.npz
0,pca,16.0,linear_svm,0.4,0.689,0.8234999999999999,0.0115758369027902,"{""C"": 10.0}",16,prediction_artifacts/trial0__pca__pca16__linear_svm.npz
0,pca,16.0,knn,0.0,0.9255,0.9135,0.014628738838327807,"{""n_neighbors"": 5, ""weights"": ""distance""}",16,prediction_artifacts/trial0__pca__pca16__knn.npz
0,pca,16.0,knn,0.1,0.925,0.9135,0.014628738838327807,"{""n_neighbors"": 5, ""weights"": ""distance""}",16,prediction_artifacts/trial0__pca__pca16__knn.npz
0,pca,16.0,knn,0.2,0.922,0.9135,0.014628738838327807,"{""n_neighbors"": 5, ""weights"": ""distance""}",16,prediction_artifacts/trial0__pca__pca16__knn.npz
0,pca,16.0,knn,0.3,0.9005,0.9135,0.014628738838327807,"{""n_neighbors"": 5, ""weights"": ""distance""}",16,prediction_artifacts/trial0__pca__pca16__knn.npz
0,pca,16.0,knn,0.4,0.871,0.9135,0.014628738838327807,"{""n_neighbors"": 5, ""weights"": ""distance""}",16,prediction_artifacts/trial0__pca__pca16__knn.npz
0,pca,32.0,logistic,0.0,0.881,0.8835000000000001,0.01270826502713883,"{""C"": 0.1}",32,prediction_artifacts/trial0__pca__pca32__logistic.npz
0,pca,32.0,logistic,0.1,0.8795,0.8835000000000001,0.01270826502713883,"{""C"": 0.1}",32,prediction_artifacts/trial0__pca__pca32__logistic.npz
0,pca,32.0,logistic,0.2,0.8735,0.8835000000000001,0.01270826502713883,"{""C"": 0.1}",32,prediction_artifacts/trial0__pca__pca32__logistic.npz
0,pca,32.0,logistic,0.3,0.844,0.8835000000000001,0.01270826502713883,"{""C"": 0.1}",32,prediction_artifacts/trial0__pca__pca32__logistic.npz
0,pca,32.0,logistic,0.4,0.785,0.8835000000000001,0.01270826502713883,"{""C"": 0.1}",32,prediction_artifacts/trial0__pca__pca32__logistic.npz
0,pca,32.0,linear_svm,0.0,0.87,0.8795,0.0036742346141747312,"{""C"": 0.1}",32,prediction_artifacts/trial0__pca__pca32__linear_svm.npz
0,pca,32.0,linear_svm,0.1,0.872,0.8795,0.0036742346141747312,"{""C"": 0.1}",32,prediction_artifacts/trial0__pca__pca32__linear_svm.npz
0,pca,32.0,linear_svm,0.2,0.8575,0.8795,0.0036742346141747312,"{""C"": 0.1}",32,prediction_artifacts/trial0__pca__pca32__linear_svm.npz
0,pca,32.0,linear_svm,0.3,0.82,0.8795,0.0036742346141747312,"{""C"": 0.1}",32,prediction_artifacts/trial0__pca__pca32__linear_svm.npz
0,pca,32.0,linear_svm,0.4,0.759,0.8795,0.0036742346141747312,"{""C"": 0.1}",32,prediction_artifacts/trial0__pca__pca32__linear_svm.npz
0,pca,32.0,knn,0.0,0.9365,0.9279999999999999,0.011113055385446456,"{""n_neighbors"": 3, ""weights"": ""distance""}",32,prediction_artifacts/trial0__pca__pca32__knn.npz
0,pca,32.0,knn,0.1,0.9375,0.9279999999999999,0.011113055385446456,"{""n_neighbors"": 3, ""weights"": ""distance""}",32,prediction_artifacts/trial0__pca__pca32__knn.npz
0,pca,32.0,knn,0.2,0.9365,0.9279999999999999,0.011113055385446456,"{""n_neighbors"": 3, ""weights"": ""distance""}",32,prediction_artifacts/trial0__pca__pca32__knn.npz
0,pca,32.0,knn,0.3,0.9325,0.9279999999999999,0.011113055385446456,"{""n_neighbors"": 3, ""weights"": ""distance""}",32,prediction_artifacts/trial0__pca__pca32__knn.npz
0,pca,32.0,knn,0.4,0.9275,0.9279999999999999,0.011113055385446456,"{""n_neighbors"": 3, ""weights"": ""distance""}",32,prediction_artifacts/trial0__pca__pca32__knn.npz
0,pca,64.0,logistic,0.0,0.894,0.8885,0.01260952021291849,"{""C"": 0.1}",64,prediction_artifacts/trial0__pca__pca64__logistic.npz
0,pca,64.0,logistic,0.1,0.8905,0.8885,0.01260952021291849,"{""C"": 0.1}",64,prediction_artifacts/trial0__pca__pca64__logistic.npz
0,pca,64.0,logistic,0.2,0.8755,0.8885,0.01260952021291849,"{""C"": 0.1}",64,prediction_artifacts/trial0__pca__pca64__logistic.npz
0,pca,64.0,logistic,0.3,0.8535,0.8885,0.01260952021291849,"{""C"": 0.1}",64,prediction_artifacts/trial0__pca__pca64__logistic.npz
0,pca,64.0,logistic,0.4,0.7995,0.8885,0.01260952021291849,"{""C"": 0.1}",64,prediction_artifacts/trial0__pca__pca64__logistic.npz
0,pca,64.0,linear_svm,0.0,0.886,0.8779999999999999,0.007968688725254594,"{""C"": 0.1}",64,prediction_artifacts/trial0__pca__pca64__linear_svm.npz
0,pca,64.0,linear_svm,0.1,0.882,0.8779999999999999,0.007968688725254594,"{""C"": 0.1}",64,prediction_artifacts/trial0__pca__pca64__linear_svm.npz
0,pca,64.0,linear_svm,0.2,0.8645,0.8779999999999999,0.007968688725254594,"{""C"": 0.1}",64,prediction_artifacts/trial0__pca__pca64__linear_svm.npz
0,pca,64.0,linear_svm,0.3,0.834,0.8779999999999999,0.007968688725254594,"{""C"": 0.1}",64,prediction_artifacts/trial0__pca__pca64__linear_svm.npz
0,pca,64.0,linear_svm,0.4,0.7605,0.8779999999999999,0.007968688725254594,"{""C"": 0.1}",64,prediction_artifacts/trial0__pca__pca64__linear_svm.npz
0,pca,64.0,knn,0.0,0.932,0.9265000000000001,0.011247221879201998,"{""n_neighbors"": 3, ""weights"": ""distance""}",64,prediction_artifacts/trial0__pca__pca64__knn.npz
0,pca,64.0,knn,0.1,0.9345,0.9265000000000001,0.011247221879201998,"{""n_neighbors"": 3, ""weights"": ""distance""}",64,prediction_artifacts/trial0__pca__pca64__knn.npz
0,pca,64.0,knn,0.2,0.933,0.9265000000000001,0.011247221879201998,"{""n_neighbors"": 3, ""weights"": ""distance""}",64,prediction_artifacts/trial0__pca__pca64__knn.npz
0,pca,64.0,knn,0.3,0.9245,0.9265000000000001,0.011247221879201998,"{""n_neighbors"": 3, ""weights"": ""distance""}",64,prediction_artifacts/trial0__pca__pca64__knn.npz
0,pca,64.0,knn,0.4,0.9295,0.9265000000000001,0.011247221879201998,"{""n_neighbors"": 3, ""weights"": ""distance""}",64,prediction_artifacts/trial0__pca__pca64__knn.npz
0,pca,128.0,logistic,0.0,0.891,0.8889999999999999,0.010559356040971427,"{""C"": 0.1}",128,prediction_artifacts/trial0__pca__pca128__logistic.npz
0,pca,128.0,logistic,0.1,0.8915,0.8889999999999999,0.010559356040971427,"{""C"": 0.1}",128,prediction_artifacts/trial0__pca__pca128__logistic.npz
0,pca,128.0,logistic,0.2,0.8815,0.8889999999999999,0.010559356040971427,"{""C"": 0.1}",128,prediction_artifacts/trial0__pca__pca128__logistic.npz
0,pca,128.0,logistic,0.3,0.861,0.8889999999999999,0.010559356040971427,"{""C"": 0.1}",128,prediction_artifacts/trial0__pca__pca128__logistic.npz
0,pca,128.0,logistic,0.4,0.7905,0.8889999999999999,0.010559356040971427,"{""C"": 0.1}",128,prediction_artifacts/trial0__pca__pca128__logistic.npz
0,pca,128.0,linear_svm,0.0,0.8785,0.8739999999999999,0.013838352503098039,"{""C"": 0.01}",128,prediction_artifacts/trial0__pca__pca128__linear_svm.npz
0,pca,128.0,linear_svm,0.1,0.881,0.8739999999999999,0.013838352503098039,"{""C"": 0.01}",128,prediction_artifacts/trial0__pca__pca128__linear_svm.npz
0,pca,128.0,linear_svm,0.2,0.8755,0.8739999999999999,0.013838352503098039,"{""C"": 0.01}",128,prediction_artifacts/trial0__pca__pca128__linear_svm.npz
0,pca,128.0,linear_svm,0.3,0.8505,0.8739999999999999,0.013838352503098039,"{""C"": 0.01}",128,prediction_artifacts/trial0__pca__pca128__linear_svm.npz
0,pca,128.0,linear_svm,0.4,0.808,0.8739999999999999,0.013838352503098039,"{""C"": 0.01}",128,prediction_artifacts/trial0__pca__pca128__linear_svm.npz
0,pca,128.0,knn,0.0,0.928,0.922,0.011113055385446463,"{""n_neighbors"": 5, ""weights"": ""distance""}",128,prediction_artifacts/trial0__pca__pca128__knn.npz
0,pca,128.0,knn,0.1,0.931,0.922,0.011113055385446463,"{""n_neighbors"": 5, ""weights"": ""distance""}",128,prediction_artifacts/trial0__pca__pca128__knn.npz
0,pca,128.0,knn,0.2,0.929,0.922,0.011113055385446463,"{""n_neighbors"": 5, ""weights"": ""distance""}",128,prediction_artifacts/trial0__pca__pca128__knn.npz
0,pca,128.0,knn,0.3,0.9215,0.922,0.011113055385446463,"{""n_neighbors"": 5, ""weights"": ""distance""}",128,prediction_artifacts/trial0__pca__pca128__knn.npz
0,pca,128.0,knn,0.4,0.925,0.922,0.011113055385446463,"{""n_neighbors"": 5, ""weights"": ""distance""}",128,prediction_artifacts/trial0__pca__pca128__knn.npz
0,pca,256.0,logistic,0.0,0.8885,0.8879999999999999,0.00953939201416943,"{""C"": 0.1}",256,prediction_artifacts/trial0__pca__pca256__logistic.npz
0,pca,256.0,logistic,0.1,0.888,0.8879999999999999,0.00953939201416943,"{""C"": 0.1}",256,prediction_artifacts/trial0__pca__pca256__logistic.npz
0,pca,256.0,logistic,0.2,0.881,0.8879999999999999,0.00953939201416943,"{""C"": 0.1}",256,prediction_artifacts/trial0__pca__pca256__logistic.npz
0,pca,256.0,logistic,0.3,0.8525,0.8879999999999999,0.00953939201416943,"{""C"": 0.1}",256,prediction_artifacts/trial0__pca__pca256__logistic.npz
0,pca,256.0,logistic,0.4,0.787,0.8879999999999999,0.00953939201416943,"{""C"": 0.1}",256,prediction_artifacts/trial0__pca__pca256__logistic.npz
0,pca,256.0,linear_svm,0.0,0.878,0.8775000000000001,0.012349089035228444,"{""C"": 0.01}",256,prediction_artifacts/trial0__pca__pca256__linear_svm.npz
0,pca,256.0,linear_svm,0.1,0.881,0.8775000000000001,0.012349089035228444,"{""C"": 0.01}",256,prediction_artifacts/trial0__pca__pca256__linear_svm.npz
0,pca,256.0,linear_svm,0.2,0.874,0.8775000000000001,0.012349089035228444,"{""C"": 0.01}",256,prediction_artifacts/trial0__pca__pca256__linear_svm.npz
0,pca,256.0,linear_svm,0.3,0.8435,0.8775000000000001,0.012349089035228444,"{""C"": 0.01}",256,prediction_artifacts/trial0__pca__pca256__linear_svm.npz
0,pca,256.0,linear_svm,0.4,0.7755,0.8775000000000001,0.012349089035228444,"{""C"": 0.01}",256,prediction_artifacts/trial0__pca__pca256__linear_svm.npz
0,pca,256.0,knn,0.0,0.927,0.9175000000000001,0.011067971810589328,"{""n_neighbors"": 3, ""weights"": ""distance""}",256,prediction_artifacts/trial0__pca__pca256__knn.npz
0,pca,256.0,knn,0.1,0.9255,0.9175000000000001,0.011067971810589328,"{""n_neighbors"": 3, ""weights"": ""distance""}",256,prediction_artifacts/trial0__pca__pca256__knn.npz
0,pca,256.0,knn,0.2,0.931,0.9175000000000001,0.011067971810589328,"{""n_neighbors"": 3, ""weights"": ""distance""}",256,prediction_artifacts/trial0__pca__pca256__knn.npz
0,pca,256.0,knn,0.3,0.9155,0.9175000000000001,0.011067971810589328,"{""n_neighbors"": 3, ""weights"": ""distance""}",256,prediction_artifacts/trial0__pca__pca256__knn.npz
0,pca,256.0,knn,0.4,0.917,0.9175000000000001,0.011067971810589328,"{""n_neighbors"": 3, ""weights"": ""distance""}",256,prediction_artifacts/trial0__pca__pca256__knn.npz
0,pca,512.0,logistic,0.0,0.888,0.8859999999999999,0.011135528725660017,"{""C"": 0.1}",512,prediction_artifacts/trial0__pca__pca512__logistic.npz
0,pca,512.0,logistic,0.1,0.89,0.8859999999999999,0.011135528725660017,"{""C"": 0.1}",512,prediction_artifacts/trial0__pca__pca512__logistic.npz
0,pca,512.0,logistic,0.2,0.877,0.8859999999999999,0.011135528725660017,"{""C"": 0.1}",512,prediction_artifacts/trial0__pca__pca512__logistic.npz
