trial,preprocess,pca_dim,model,params_json,mean_cv_accuracy,std_cv_accuracy,cv_folds_used
0,pca,64.0,linear_svm,"{""C"": 0.1}",0.8779999999999999,0.007968688725254594,5
0,pca,64.0,linear_svm,"{""C"": 1.0}",0.8710000000000001,0.005612486080160892,5
0,pca,64.0,linear_svm,"{""C"": 10.0}",0.865,0.00908295106229247,5
0,pca,64.0,linear_svm,"{""C"": 100.0}",0.8554999999999999,0.012786711852544434,5
0,pca,64.0,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.9195,0.018801595676963153,5
0,pca,64.0,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}",0.9195,0.018801595676963153,5
0,pca,64.0,knn,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.9235,0.010793516572461448,5
0,pca,64.0,knn,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9265000000000001,0.011247221879201998,5
0,pca,64.0,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.9245000000000001,0.01354621718414407,5
0,pca,64.0,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.9255000000000001,0.01197914855071095,5
0,pca,64.0,knn,"{""n_neighbors"": 7, ""weights"": ""uniform""}",0.9145,0.020024984394500792,5
0,pca,64.0,knn,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.9244999999999999,0.020273134932713276,5
0,pca,64.0,knn,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.9084999999999999,0.016324827717314534,5
0,pca,64.0,knn,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.9129999999999999,0.01576388277043444,5
0,pca,128.0,logistic,"{""C"": 0.01}",0.8720000000000001,0.017986105748604948,5
0,pca,128.0,logistic,"{""C"": 0.1}",0.8889999999999999,0.010559356040971427,5
0,pca,128.0,logistic,"{""C"": 1.0}",0.884,0.011999999999999972,5
0,pca,128.0,logistic,"{""C"": 10.0}",0.8765000000000001,0.01240967364599086,5
0,pca,128.0,logistic,"{""C"": 100.0}",0.8789999999999999,0.013928388277184097,5
0,pca,128.0,linear_svm,"{""C"": 0.01}",0.8739999999999999,0.013838352503098039,5
0,pca,128.0,linear_svm,"{""C"": 0.1}",0.8690000000000001,0.008455767262643863,5
0,pca,128.0,linear_svm,"{""C"": 1.0}",0.8484999999999999,0.014543039572249006,5
0,pca,128.0,linear_svm,"{""C"": 10.0}",0.8254999999999999,0.021760055146988935,5
0,pca,128.0,linear_svm,"{""C"": 100.0}",0.812,0.0223271135617661,5
0,pca,128.0,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.9135,0.016477257053284074,5
0,pca,128.0,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}",0.9135,0.016477257053284074,5
0,pca,128.0,knn,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.9125,0.010368220676663863,5
0,pca,128.0,knn,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9190000000000002,0.011467344941179727,5
0,pca,128.0,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.9149999999999998,0.013874436925511621,5
0,pca,128.0,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.922,0.011113055385446463,5
0,pca,128.0,knn,"{""n_neighbors"": 7, ""weights"": ""uniform""}",0.9085000000000001,0.018479718612576343,5
0,pca,128.0,knn,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.915,0.013693063937629169,5
0,pca,128.0,knn,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.9015000000000001,0.01721917535772258,5
0,pca,128.0,knn,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.907,0.0175641680702503,5
0,pca,256.0,logistic,"{""C"": 0.01}",0.874,0.016401219466856708,5
0,pca,256.0,logistic,"{""C"": 0.1}",0.8879999999999999,0.00953939201416943,5
0,pca,256.0,logistic,"{""C"": 1.0}",0.8835,0.01383835250309802,5
0,pca,256.0,logistic,"{""C"": 10.0}",0.8774999999999998,0.010606601717798191,5
0,pca,256.0,logistic,"{""C"": 100.0}",0.8765000000000001,0.01640121946685673,5
0,pca,256.0,linear_svm,"{""C"": 0.01}",0.8775000000000001,0.012349089035228444,5
0,pca,256.0,linear_svm,"{""C"": 0.1}",0.8675,0.007905694150420941,5
0,pca,256.0,linear_svm,"{""C"": 1.0}",0.8400000000000001,0.008366600265340743,5
0,pca,256.0,linear_svm,"{""C"": 10.0}",0.813,0.010770329614269011,5
0,pca,256.0,linear_svm,"{""C"": 100.0}",0.8099999999999999,0.008215838362577466,5
0,pca,256.0,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.9135,0.017860571099491785,5
0,pca,256.0,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}",0.9135,0.017860571099491785,5
0,pca,256.0,knn,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.9109999999999999,0.010198039027185588,5
0,pca,256.0,knn,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9175000000000001,0.011067971810589328,5
