config_key,preprocess,model,pca_dim,noise_sigma,mean_test_accuracy,std_test_accuracy,clean_mean_accuracy,robustness_drop
pca|logistic|512,pca,logistic,512.0,0.2,0.878,0.0014142135623730963,0.8865000000000001,0.008500000000000063
pca|logistic|512,pca,logistic,512.0,0.3,0.85,0.0014142135623730963,0.8865000000000001,0.03650000000000009
pca|logistic|512,pca,logistic,512.0,0.4,0.7847500000000001,0.0017677669529664489,0.8865000000000001,0.10175000000000001
pca|logistic|64,pca,logistic,64.0,0.0,0.8895,0.006363961030678894,0.8895,0.0
pca|logistic|64,pca,logistic,64.0,0.1,0.88575,0.006717514421272207,0.8895,0.00374999999999992
pca|logistic|64,pca,logistic,64.0,0.2,0.87525,0.00035355339059323483,0.8895,0.014249999999999985
pca|logistic|64,pca,logistic,64.0,0.3,0.85225,0.0017677669529663704,0.8895,0.037250000000000005
pca|logistic|64,pca,logistic,64.0,0.4,0.7949999999999999,0.006363961030678894,0.8895,0.09450000000000003
raw|knn|none,raw,knn,,0.0,0.9219999999999999,0.004949747468305798,0.9219999999999999,0.0
raw|knn|none,raw,knn,,0.1,0.9197500000000001,0.006717514421272207,0.9219999999999999,0.0022499999999998632
raw|knn|none,raw,knn,,0.2,0.92225,0.008131727983645342,0.9219999999999999,-0.0002500000000000835
raw|knn|none,raw,knn,,0.3,0.9099999999999999,0.0007071067811865089,0.9219999999999999,0.01200000000000001
raw|knn|none,raw,knn,,0.4,0.9117500000000001,0.008131727983645304,0.9219999999999999,0.01024999999999987
raw|linear_svm|none,raw,linear_svm,,0.0,0.8865,0.004242640687119289,0.8865,0.0
raw|linear_svm|none,raw,linear_svm,,0.1,0.8855,0.004949747468305798,0.8865,0.0010000000000000009
raw|linear_svm|none,raw,linear_svm,,0.2,0.878,0.004949747468305759,0.8865,0.008499999999999952
raw|linear_svm|none,raw,linear_svm,,0.3,0.8540000000000001,0.004949747468305877,0.8865,0.03249999999999986
raw|linear_svm|none,raw,linear_svm,,0.4,0.78575,0.006010407640085738,0.8865,0.10075
raw|logistic|none,raw,logistic,,0.0,0.8895,0.007071067811865481,0.8895,0.0
raw|logistic|none,raw,logistic,,0.1,0.8879999999999999,0.007778174593051991,0.8895,0.0015000000000000568
raw|logistic|none,raw,logistic,,0.2,0.88025,0.003889087296526054,0.8895,0.00924999999999998
raw|logistic|none,raw,logistic,,0.3,0.8374999999999999,0.010606601717798184,0.8895,0.052000000000000046
raw|logistic|none,raw,logistic,,0.4,0.755,0.01626345596729053,0.8895,0.13449999999999995
standard_pca|knn|128,standard_pca,knn,128.0,0.0,0.8865,0.004242640687119289,0.8865,0.0
standard_pca|knn|128,standard_pca,knn,128.0,0.1,0.8825,0.005656854249492385,0.8865,0.0040000000000000036
standard_pca|knn|128,standard_pca,knn,128.0,0.2,0.83525,0.04772970773009192,0.8865,0.05124999999999991
standard_pca|knn|128,standard_pca,knn,128.0,0.3,0.49224999999999997,0.16228100628231265,0.8865,0.39425
standard_pca|knn|128,standard_pca,knn,128.0,0.4,0.20775,0.05621498910433053,0.8865,0.67875
standard_pca|knn|16,standard_pca,knn,16.0,0.0,0.88375,0.010960155108391496,0.88375,0.0
standard_pca|knn|16,standard_pca,knn,16.0,0.1,0.828,0.008485281374238578,0.88375,0.05575000000000008
standard_pca|knn|16,standard_pca,knn,16.0,0.2,0.59425,0.05126524163602467,0.88375,0.2895000000000001
standard_pca|knn|16,standard_pca,knn,16.0,0.3,0.4125,0.06222539674441622,0.88375,0.47125000000000006
standard_pca|knn|16,standard_pca,knn,16.0,0.4,0.29625,0.04702260094890542,0.88375,0.5875
standard_pca|knn|256,standard_pca,knn,256.0,0.0,0.872,0.004949747468305759,0.872,0.0
standard_pca|knn|256,standard_pca,knn,256.0,0.1,0.871,0.0007071067811865874,0.872,0.0010000000000000009
standard_pca|knn|256,standard_pca,knn,256.0,0.2,0.80725,0.05338656197958431,0.872,0.06474999999999997
standard_pca|knn|256,standard_pca,knn,256.0,0.3,0.41500000000000004,0.1329360748630709,0.872,0.45699999999999996
standard_pca|knn|256,standard_pca,knn,256.0,0.4,0.17525000000000002,0.03429467888754756,0.872,0.69675
standard_pca|knn|32,standard_pca,knn,32.0,0.0,0.8925000000000001,0.007778174593052069,0.8925000000000001,0.0
standard_pca|knn|32,standard_pca,knn,32.0,0.1,0.8685,0.004949747468305877,0.8925000000000001,0.02400000000000002
standard_pca|knn|32,standard_pca,knn,32.0,0.2,0.63825,0.04560838738653231,0.8925000000000001,0.2542500000000001
standard_pca|knn|32,standard_pca,knn,32.0,0.3,0.33925,0.07389265863399425,0.8925000000000001,0.55325
standard_pca|knn|32,standard_pca,knn,32.0,0.4,0.21075,0.03995153313703993,0.8925000000000001,0.6817500000000001
standard_pca|knn|512,standard_pca,knn,512.0,0.0,0.86825,0.003181980515339545,0.86825,0.0
standard_pca|knn|512,standard_pca,knn,512.0,0.1,0.8665,0.0,0.86825,0.0017499999999999183
standard_pca|knn|512,standard_pca,knn,512.0,0.2,0.84125,0.015202795795510786,0.86825,0.026999999999999913
standard_pca|knn|512,standard_pca,knn,512.0,0.3,0.5105,0.050204581464244884,0.86825,0.35775
standard_pca|knn|512,standard_pca,knn,512.0,0.4,0.197,0.013435028842544406,0.86825,0.6712499999999999
standard_pca|knn|64,standard_pca,knn,64.0,0.0,0.8955,0.007778174593051991,0.8955,0.0
standard_pca|knn|64,standard_pca,knn,64.0,0.1,0.88225,0.013081475451951102,0.8955,0.013249999999999984
standard_pca|knn|64,standard_pca,knn,64.0,0.2,0.75075,0.06328605691619599,0.8955,0.14474999999999993
standard_pca|knn|64,standard_pca,knn,64.0,0.3,0.37725,0.08025661966467316,0.8955,0.51825
standard_pca|knn|64,standard_pca,knn,64.0,0.4,0.20224999999999999,0.01732411613907042,0.8955,0.6932499999999999
standard_pca|linear_svm|128,standard_pca,linear_svm,128.0,0.0,0.86625,0.013081475451951102,0.86625,0.0
standard_pca|linear_svm|128,standard_pca,linear_svm,128.0,0.1,0.5387500000000001,0.07742819253992694,0.86625,0.3274999999999999
standard_pca|linear_svm|128,standard_pca,linear_svm,128.0,0.2,0.277,0.02687005768508877,0.86625,0.5892499999999999
standard_pca|linear_svm|128,standard_pca,linear_svm,128.0,0.3,0.202,0.029698484809834995,0.86625,0.66425
standard_pca|linear_svm|128,standard_pca,linear_svm,128.0,0.4,0.16325,0.022980970388562786,0.86625,0.703
standard_pca|linear_svm|16,standard_pca,linear_svm,16.0,0.0,0.8240000000000001,0.016263455967290646,0.8240000000000001,0.0
standard_pca|linear_svm|16,standard_pca,linear_svm,16.0,0.1,0.70575,0.04560838738653231,0.8240000000000001,0.11825000000000008
standard_pca|linear_svm|16,standard_pca,linear_svm,16.0,0.2,0.47500000000000003,0.11596551211459381,0.8240000000000001,0.34900000000000003
standard_pca|linear_svm|16,standard_pca,linear_svm,16.0,0.3,0.345,0.11242997820866106,0.8240000000000001,0.4790000000000001
standard_pca|linear_svm|16,standard_pca,linear_svm,16.0,0.4,0.2625,0.07424621202458749,0.8240000000000001,0.5615000000000001
standard_pca|linear_svm|256,standard_pca,linear_svm,256.0,0.0,0.8612500000000001,0.006717514421272207,0.8612500000000001,0.0
standard_pca|linear_svm|256,standard_pca,linear_svm,256.0,0.1,0.52525,0.07884240610230002,0.8612500000000001,0.3360000000000001
standard_pca|linear_svm|256,standard_pca,linear_svm,256.0,0.2,0.28200000000000003,0.03818376618407354,0.8612500000000001,0.57925
standard_pca|linear_svm|256,standard_pca,linear_svm,256.0,0.3,0.201,0.027577164466275346,0.8612500000000001,0.66025
standard_pca|linear_svm|256,standard_pca,linear_svm,256.0,0.4,0.16,0.012020815280171319,0.8612500000000001,0.70125
standard_pca|linear_svm|32,standard_pca,linear_svm,32.0,0.0,0.85825,0.010253048327204948,0.85825,0.0
standard_pca|linear_svm|32,standard_pca,linear_svm,32.0,0.1,0.56575,0.057629202666703676,0.85825,0.2925
standard_pca|linear_svm|32,standard_pca,linear_svm,32.0,0.2,0.39825,0.00954594154601842,0.85825,0.45999999999999996
standard_pca|linear_svm|32,standard_pca,linear_svm,32.0,0.3,0.30125,0.022980970388562835,0.85825,0.5569999999999999
standard_pca|linear_svm|32,standard_pca,linear_svm,32.0,0.4,0.237,0.03040559159102154,0.85825,0.62125
standard_pca|linear_svm|512,standard_pca,linear_svm,512.0,0.0,0.8525,0.007071067811865481,0.8525,0.0
standard_pca|linear_svm|512,standard_pca,linear_svm,512.0,0.1,0.52575,0.04560838738653234,0.8525,0.32675
standard_pca|linear_svm|512,standard_pca,linear_svm,512.0,0.2,0.27525,0.04490128060534577,0.8525,0.57725
standard_pca|linear_svm|512,standard_pca,linear_svm,512.0,0.3,0.1985,0.04879036790187178,0.8525,0.654
standard_pca|linear_svm|512,standard_pca,linear_svm,512.0,0.4,0.16425,0.008131727983645304,0.8525,0.68825
standard_pca|linear_svm|64,standard_pca,linear_svm,64.0,0.0,0.87425,0.012374368670764515,0.87425,0.0
standard_pca|linear_svm|64,standard_pca,linear_svm,64.0,0.1,0.4615,0.17606958851545026,0.87425,0.41274999999999995
standard_pca|linear_svm|64,standard_pca,linear_svm,64.0,0.2,0.31675,0.1014698231002696,0.87425,0.5575
standard_pca|linear_svm|64,standard_pca,linear_svm,64.0,0.3,0.24725,0.06752869760331527,0.87425,0.627
standard_pca|linear_svm|64,standard_pca,linear_svm,64.0,0.4,0.213,0.032526911934581175,0.87425,0.66125
standard_pca|logistic|128,standard_pca,logistic,128.0,0.0,0.8765000000000001,0.007071067811865442,0.8765000000000001,0.0
standard_pca|logistic|128,standard_pca,logistic,128.0,0.1,0.83075,0.0010606601717798615,0.8765000000000001,0.04575000000000007
standard_pca|logistic|128,standard_pca,logistic,128.0,0.2,0.649,0.013435028842544454,0.8765000000000001,0.22750000000000004
standard_pca|logistic|128,standard_pca,logistic,128.0,0.3,0.45925,0.03995153313703993,0.8765000000000001,0.41725000000000007
standard_pca|logistic|128,standard_pca,logistic,128.0,0.4,0.33925,0.02934493141924171,0.8765000000000001,0.53725
standard_pca|logistic|16,standard_pca,logistic,16.0,0.0,0.837,0.02262741699796954,0.837,0.0
standard_pca|logistic|16,standard_pca,logistic,16.0,0.1,0.7295,0.05656854249492373,0.837,0.10749999999999993
standard_pca|logistic|16,standard_pca,logistic,16.0,0.2,0.518,0.09828784258493012,0.837,0.31899999999999995
standard_pca|logistic|16,standard_pca,logistic,16.0,0.3,0.36975,0.09934850275670992,0.837,0.46724999999999994
standard_pca|logistic|16,standard_pca,logistic,16.0,0.4,0.28800000000000003,0.07707463914933367,0.837,0.5489999999999999
standard_pca|logistic|256,standard_pca,logistic,256.0,0.0,0.88025,0.008131727983645226,0.88025,0.0
standard_pca|logistic|256,standard_pca,logistic,256.0,0.1,0.84275,0.0045961940777125235,0.88025,0.03749999999999998
standard_pca|logistic|256,standard_pca,logistic,256.0,0.2,0.68,0.008485281374238578,0.88025,0.20024999999999993
standard_pca|logistic|256,standard_pca,logistic,256.0,0.3,0.4845,0.036769552621700424,0.88025,0.39575
standard_pca|logistic|256,standard_pca,logistic,256.0,0.4,0.35675,0.038537319574666835,0.88025,0.5235
standard_pca|logistic|32,standard_pca,logistic,32.0,0.0,0.8574999999999999,0.013435028842544376,0.8574999999999999,0.0
standard_pca|logistic|32,standard_pca,logistic,32.0,0.1,0.78175,0.0038890872965259365,0.8574999999999999,0.07574999999999998
standard_pca|logistic|32,standard_pca,logistic,32.0,0.2,0.6154999999999999,0.014142135623730845,0.8574999999999999,0.242
standard_pca|logistic|32,standard_pca,logistic,32.0,0.3,0.4715,0.0021213203435596446,0.8574999999999999,0.38599999999999995
standard_pca|logistic|32,standard_pca,logistic,32.0,0.4,0.38,0.013435028842544414,0.8574999999999999,0.4774999999999999
standard_pca|logistic|512,standard_pca,logistic,512.0,0.0,0.8795,0.009899494936611556,0.8795,0.0
standard_pca|logistic|512,standard_pca,logistic,512.0,0.1,0.83925,0.007424621202458835,0.8795,0.0402499999999999
standard_pca|logistic|512,standard_pca,logistic,512.0,0.2,0.667,0.02262741699796954,0.8795,0.2124999999999999
standard_pca|logistic|512,standard_pca,logistic,512.0,0.3,0.46549999999999997,0.056568542494923775,0.8795,0.414
standard_pca|logistic|512,standard_pca,logistic,512.0,0.4,0.34299999999999997,0.055861435713737244,0.8795,0.5365
standard_pca|logistic|64,standard_pca,logistic,64.0,0.0,0.87475,0.013081475451951102,0.87475,0.0
standard_pca|logistic|64,standard_pca,logistic,64.0,0.1,0.8200000000000001,0.007778174593052069,0.87475,0.054749999999999965
standard_pca|logistic|64,standard_pca,logistic,64.0,0.2,0.649,0.029698484809835023,0.87475,0.22575
standard_pca|logistic|64,standard_pca,logistic,64.0,0.3,0.49049999999999994,0.018384776310850195,0.87475,0.3842500000000001
standard_pca|logistic|64,standard_pca,logistic,64.0,0.4,0.365,0.012727922061357866,0.87475,0.50975
standard|knn|none,standard,knn,,0.0,0.86675,0.002474873734152958,0.86675,0.0
standard|knn|none,standard,knn,,0.1,0.8645,0.0007071067811865089,0.86675,0.0022499999999999742
