config_key,preprocess,model,pca_dim,noise_sigma,mean_test_accuracy,std_test_accuracy
raw|linear_svm|none,raw,linear_svm,,0.4,0.78575,0.006010407640085738
raw|logistic|none,raw,logistic,,0.0,0.8895,0.007071067811865481
raw|logistic|none,raw,logistic,,0.1,0.8879999999999999,0.007778174593051991
raw|logistic|none,raw,logistic,,0.2,0.88025,0.003889087296526054
raw|logistic|none,raw,logistic,,0.3,0.8374999999999999,0.010606601717798184
raw|logistic|none,raw,logistic,,0.4,0.755,0.01626345596729053
standard_pca|knn|128,standard_pca,knn,128.0,0.0,0.88625,0.007424621202458717
standard_pca|knn|128,standard_pca,knn,128.0,0.1,0.37274999999999997,0.19197949109214762
standard_pca|knn|128,standard_pca,knn,128.0,0.2,0.14100000000000001,0.04030508652763322
standard_pca|knn|128,standard_pca,knn,128.0,0.3,0.108,0.016263455967290587
standard_pca|knn|128,standard_pca,knn,128.0,0.4,0.10525,0.0017677669529663704
standard_pca|knn|16,standard_pca,knn,16.0,0.0,0.87775,0.015202795795510786
standard_pca|knn|16,standard_pca,knn,16.0,0.1,0.44175000000000003,0.15591704525163375
standard_pca|knn|16,standard_pca,knn,16.0,0.2,0.22925,0.04560838738653231
standard_pca|knn|16,standard_pca,knn,16.0,0.3,0.15525,0.022273863607376237
standard_pca|knn|16,standard_pca,knn,16.0,0.4,0.132,0.012727922061357857
standard_pca|knn|256,standard_pca,knn,256.0,0.0,0.87225,0.0017677669529664489
standard_pca|knn|256,standard_pca,knn,256.0,0.1,0.6145,0.24395183950935892
standard_pca|knn|256,standard_pca,knn,256.0,0.2,0.26975,0.1672307537506185
standard_pca|knn|256,standard_pca,knn,256.0,0.3,0.133,0.04666904755831214
standard_pca|knn|256,standard_pca,knn,256.0,0.4,0.11299999999999999,0.010606601717798208
standard_pca|knn|32,standard_pca,knn,32.0,0.0,0.8947499999999999,0.011667261889578045
standard_pca|knn|32,standard_pca,knn,32.0,0.1,0.29275,0.15874547237637995
standard_pca|knn|32,standard_pca,knn,32.0,0.2,0.14250000000000002,0.021213203435596434
standard_pca|knn|32,standard_pca,knn,32.0,0.3,0.11775000000000001,0.027930717856868632
standard_pca|knn|32,standard_pca,knn,32.0,0.4,0.11174999999999999,0.010253048327204934
standard_pca|knn|512,standard_pca,knn,512.0,0.0,0.8700000000000001,0.002121320343559605
standard_pca|knn|512,standard_pca,knn,512.0,0.1,0.68875,0.23087036405740777
standard_pca|knn|512,standard_pca,knn,512.0,0.2,0.40925,0.3433003422660688
standard_pca|knn|512,standard_pca,knn,512.0,0.3,0.18775000000000003,0.1255114536606122
standard_pca|knn|512,standard_pca,knn,512.0,0.4,0.11549999999999999,0.014849242404917497
standard_pca|knn|64,standard_pca,knn,64.0,0.0,0.8939999999999999,0.007778174593051991
standard_pca|knn|64,standard_pca,knn,64.0,0.1,0.28875,0.20258609280994588
standard_pca|knn|64,standard_pca,knn,64.0,0.2,0.1355,0.03676955262170048
standard_pca|knn|64,standard_pca,knn,64.0,0.3,0.1125,0.015556349186104039
standard_pca|knn|64,standard_pca,knn,64.0,0.4,0.11075,0.0031819805153394665
standard_pca|linear_svm|128,standard_pca,linear_svm,128.0,0.0,0.86575,0.011667261889578005
standard_pca|linear_svm|128,standard_pca,linear_svm,128.0,0.1,0.22824999999999998,0.0767210857587404
standard_pca|linear_svm|128,standard_pca,linear_svm,128.0,0.2,0.14900000000000002,0.03040559159102156
standard_pca|linear_svm|128,standard_pca,linear_svm,128.0,0.3,0.1235,0.029698484809835
standard_pca|linear_svm|128,standard_pca,linear_svm,128.0,0.4,0.11299999999999999,0.00989949493661166
standard_pca|linear_svm|16,standard_pca,linear_svm,16.0,0.0,0.8200000000000001,0.013435028842544454
standard_pca|linear_svm|16,standard_pca,linear_svm,16.0,0.1,0.39925,0.020152543263816585
standard_pca|linear_svm|16,standard_pca,linear_svm,16.0,0.2,0.22775,0.027930717856868622
standard_pca|linear_svm|16,standard_pca,linear_svm,16.0,0.3,0.1645,0.0014142135623730963
standard_pca|linear_svm|16,standard_pca,linear_svm,16.0,0.4,0.14575,0.013081475451951131
